,Câu hỏi,A,B,C,D,Câu trả lời đúng
747,"Which word is a synonym for ""diligent""?",Lazy,Hard-working,Careless,Slow,B
748,"If I ... rich, I would travel the world.",was,am,were,is,C
749,"The word ""ubiquitous"" means:",Rare,Found everywhere,Expensive,Old-fashioned,B
750,Complete the sentence: He hasn't seen his uncle ... 2020.,for,since,in,at,B
751,"What does the idiom ""break a leg"" mean?",Hurt yourself,Good luck,Run fast,Be quiet,B
752,"What does the phrasal verb ""put off"" mean?",Start,Postpone,Clean,Finish,B
753,"The word ""ephemeral"" is closest in meaning to:",Permanent,Lasting a short time,Strong,Bright,B
754,"If something is ""a piece of cake"", it means it is:",Delicious,Difficult,Easy,Important,C
755,"What is a synonym for ""adverse""?",Favorable,Negative,Positive,Neutral,B
756,The capital city of the United Kingdom is:,Paris,London,Dublin,Edinburgh,B
757,What famous play was written by William Shakespeare?,The Odyssey,Romeo and Juliet,War and Peace,Moby Dick,B
758,The American holiday of Thanksgiving is celebrated in which month?,September,October,November,December,C
759,What is the national sport of Canada?,Basketball,Hockey,Soccer,Baseball,B
760,Which word has a different vowel sound?,Cat,Hat,Late,Fat,C
761,"Which syllable is stressed in the word ""important""?",im,por,tant,None,B
762,Which word has a silent letter?,Home,Knife,Tree,Book,B
763,The proposal suggests that a new policy ... implemented immediately.,is,be,will be,was,B
764,"She is often late, which is ... I don't like about her.",that,what,which,where,B
765,They denied ... any knowledge of the secret meeting.,to have,having,have,had,B
766,"The word ""clandestine"" means:",Public and open,Secret or hidden,Frequent,Very large,B
767,"A person who is ""misanthropic"" is characterized by:",Loving humankind,Hating humankind,Being overly trusting,Being optimistic,B
768,"What is a synonym for ""accolade""?",Criticism,Award or honor,Failure,Confusion,B
769,"The term ""paradigm shift"" refers to:",A small adjustment,A fundamental change in approach,A delay in schedule,A simple repetition,B
770,The person ... wallet was stolen called the police.,who,whose,whom,which,B
771,This is the house ... I grew up.,in which,which,that,where,A
772,I remember the day ... we first met.,which,where,when,what,C
773,"She finally got the job, ... is good news for her family.",that,which,whom,where,B
774,The reason ... he left early was a mystery.,which,why,what,who,B
775,Nền tảng điện toán đám mây (Cloud Computing) hàng đầu của Amazon là gì?,Google Cloud,Azure,Amazon Web Services (AWS),Alibaba Cloud,C
776,Hệ điều hành nào sau đây do Apple phát triển cho máy tính cá nhân (Mac)?,Android,Windows,macOS,Chrome OS,C
777,"Lĩnh vực nào là trọng tâm chiến lược dài hạn của Meta (Facebook), bao gồm VR và AR?",Robotics,Metaverse,Cryptocurrency,Bio-tech,B
778,Apple Silicon là tên gọi cho dòng sản phẩm nào của Apple?,Các linh kiện điện tử giá rẻ,Chip xử lý do Apple tự thiết kế,Dịch vụ đám mây,Phần mềm lập trình,B
779,Facebook (Meta) đã mua lại ứng dụng chia sẻ ảnh phổ biến nào vào năm 2012?,Twitter,TikTok,Instagram,Pinterest,C
780,Thương vụ mua lại công ty sản xuất thiết bị trò chơi nào của Microsoft vào năm 2023 gây chú ý lớn?,Nintendo,PlayStation,Activision Blizzard,Epic Games,C
781,Mục đích chính của nền tảng Shopify là gì?,Cung cấp dịch vụ quảng cáo,Giúp cá nhân/doanh nghiệp xây dựng và quản lý cửa hàng trực tuyến,Cung cấp dịch vụ vận chuyển,Phát triển trò chơi điện tử,B
782,Shopify App Store là nơi người bán tìm kiếm và cài đặt gì?,Các sản phẩm để bán,Các nhà cung cấp dropshipping,Các ứng dụng và tiện ích mở rộng cho cửa hàng,Các mẫu website,C
783,Shopify Partners bao gồm những đối tượng nào?,Khách hàng mua hàng,"Các lập trình viên, nhà thiết kế, và agency xây dựng giải pháp cho Shopify",Các đối thủ cạnh tranh,Các nhà cung cấp vật liệu,B
784,Shopify Themes là gì?,Các sản phẩm bán chạy nhất,Các mẫu giao diện được thiết kế sẵn cho cửa hàng,Các ứng dụng quản lý kho,Các khóa học online,B
785,Số nào KHÔNG phải là số nguyên tố?,11,17,21,29,C
786,Cái gì có miệng nhưng không bao giờ nói được?,Chiếc giày,Con dao,Cái chai,Chiếc bàn,C
787,"Nếu một chiếc bánh được cắt thành 8 miếng, cần bao nhiêu lần cắt?",3,4,5,8,A
788,Số nào KHÔNG phải là bội số của 6?,42,54,78,94,D
789,"Phim nào là phiên bản làm lại của tác phẩm kinh điển năm 1937, kể về Bạch Tuyết và bảy chú lùn",The Little Mermaid,Snow White,Beauty and the Beast,Cinderella,B
790,Phần tiếp theo của series Avatar của James Cameron dự kiến sẽ ra mắt vào năm nào?,2024,2025,2026,2027,B
791,"Ngọn núi cao nhất thế giới, Everest, nằm giữa hai quốc gia nào?",Trung Quốc và Ấn Độ,Nepal và Trung Quốc,Ấn Độ và Nepal,Pakistan và Trung Quốc,B
792,Mona Lisa là bức tranh nổi tiếng của họa sĩ nào?,Vincent van Gogh,Leonardo da Vinci,Pablo Picasso,Claude Monet,B
793,Một công ty có giá trị vượt $10$ tỷ USD thường được gọi là gì?,Mini-corn,Decacorn,Mega-corn,Titan,B
794,SpaceX của Elon Musk là một Unicorn hoạt động trong lĩnh vực nào?,Viễn thông mặt đất,Hàng không vũ trụ,Xe điện,Dược phẩm,B
795,EdTech là lĩnh vực của các Unicorn tập trung vào:,Công nghệ giáo dục,Công nghệ giải trí,Công nghệ y tế,Công nghệ môi trường,A
796,"Series A, B, C... là tên gọi của quá trình nào trong hành trình của một Startup Unicorn?",Giai đoạn bán hàng,Giai đoạn gọi vốn đầu tư,Giai đoạn tuyển dụng,Giai đoạn phát triển sản phẩm,B
797,Burn Rate  là thước đo quan trọng nào của các Unicorn đang tăng trưởng nhanh?,Tốc độ tăng trưởng doanh thu,Tốc độ tiêu thụ vốn đầu tư so với thu nhập,Tốc độ sản xuất hàng hóa,Tỷ lệ tuyển dụng nhân viên,B
798,Thung lũng nào ở Mỹ được coi là trung tâm của các Unicorn công nghệ toàn cầu?,Silicon Valley,Tech Valley,Death Valley,Central Valley,A
799,"Công ty mẹ của TikTok, ByteDance, được coi là một loại hình Unicorn nào?",Doublecorn,Hectocorn,Unicorne,Decacorn,B
800,Công ty nào là người tiên phong và là công ty SaaS lớn nhất trong lĩnh vực CRM (Quản lý Quan hệ Khách hàng)?,Microsoft,Adobe,Salesforce,Oracle,C
